Node identifier 1,Bodysite 1,Clade 1,Node  identifier 2,Bodysite 2,Clade 2,Houston p-value Spearman,Houston p-value Pearson,Houston p-value Bray-Curtis,Houston p-value Kullback-Leibler,St.Louis p-value Spearman,St.Louis p-value Pearson,St.Louis p-value Bray-Curtis,St.Louis p-value Kullback-Leibler,Houston p-value GBLM,St.Louis p-value GBLM,Fisher-merge p-value,Houston GBLM beta,St.Louis GBLM beta,Houston Spearman interaction type,Houston Pearson interaction type,Houston Bray-Curtis interaction type,Houston Kullback-Leibler interaction type,St.Louis Spearman interaction type,St.Louis Pearson interaction type,St.Louis Bray-Curtis interaction type,St.Louis Kullback-Leibler interaction type,Simes-merge p-value,Fisher-merge FDR-corrected p-value,Simes-merge FDR-corrected p-value,Number of dataset- or method-specific networks supporting relationship,Direction,Relationship between the same clade in different bodysites,Relationship within the same bodysite,GBLM supports relationship,"Ensemble (Pearson, Spearman, KLD or BC) supports relationship"
Supragingival_plaque|Spirochaetales-Spirochaetaceae,Supragingival-plaque,Spirochaetales-Spirochaetaceae,Supragingival_plaque|Bacteroidales-Prevotellaceae,Supragingival-plaque,Bacteroidales-Prevotellaceae,"0,0026491627",None,None,None,"0,0052183265",None,None,None,"9,48E-05",None,"3,02E-07","0,0855225",NA,copresence,nan,nan,nan,copresence,nan,nan,nan,"0,000947793","2,40E-05","0,0382189428",3,3,,,,
Supragingival_plaque|Veillonellaceae-Dialister,Supragingival-plaque,Veillonellaceae-Dialister,Supragingival_plaque|Bacteroidales-Prevotellaceae,Supragingival-plaque,Bacteroidales-Prevotellaceae,"0,003912921",None,None,None,None,None,None,None,"2,61E-08","0,00150859","7,17E-11","0,0543385","0,183753",copresence,nan,nan,nan,nan,nan,nan,nan,"2,61E-07","1,12E-08","2,62E-05",3,3,,,,
Throat|Lachnospiraceae-Moryella,Throat,Lachnospiraceae-Moryella,Throat|Pasteurellaceae-unclassified,Throat,Pasteurellaceae-unclassified,None,None,None,None,None,None,None,None,"9,34E-10","0,0104995","2,58E-10","-0,0599149","-0,257857",nan,nan,nan,nan,nan,nan,nan,nan,"9,34E-09","3,65E-08","1,23E-06",2,-2,,,,0
Throat|Lachnospiraceae-Moryella,Throat,Lachnospiraceae-Moryella,Throat|Coriobacteriaceae-Atopobium,Throat,Coriobacteriaceae-Atopobium,None,None,None,None,None,None,None,None,"3,68E-38","0,0104995","3,55E-38","0,150017","0,0267025",nan,nan,nan,nan,nan,nan,nan,nan,"3,68E-37","8,29E-35","9,57E-34",2,2,,,,
Buccal_mucosa|Prevotellaceae-Prevotella,Buccal-mucosa,Prevotellaceae-Prevotella,Buccal_mucosa|Coriobacteriales-Coriobacteriaceae,Buccal-mucosa,Coriobacteriales-Coriobacteriaceae,"0,0202979915","0,0557330551",None,None,None,None,None,None,"2,70E-11",None,"1,58E-11","0,270594",NA,copresence,copresence,nan,nan,nan,nan,nan,nan,"2,70E-10","2,66E-09","4,73E-08",3,3,,,,1
Buccal_mucosa|Prevotellaceae-Prevotella,Buccal-mucosa,Prevotellaceae-Prevotella,Hard_palate|Bifidobacteriaceae-Alloscardovia,Hard-palate,Bifidobacteriaceae-Alloscardovia,None,None,None,None,None,None,None,None,"4,46E-17","0,00400407","7,89E-18","0,00728487","0,0767077",nan,nan,nan,nan,nan,nan,nan,nan,"4,46E-16","3,02E-15","1,70E-13",2,2,,0,,0
Buccal_mucosa|Prevotellaceae-Prevotella,Buccal-mucosa,Prevotellaceae-Prevotella,Buccal_mucosa|Veillonellaceae-Megasphaera,Buccal-mucosa,Veillonellaceae-Megasphaera,None,"0,0641929394",None,None,"0,0131731773","0,037831958",None,None,"2,70E-11","0,000181869","2,53E-14","0,141715","0,208088",nan,copresence,nan,nan,copresence,copresence,nan,nan,"2,70E-10","6,18E-12","4,73E-08",5,5,,1,,1
Buccal_mucosa|Prevotellaceae-Prevotella,Buccal-mucosa,Prevotellaceae-Prevotella,Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,"0,0125890284","0,0060458262",None,None,None,None,None,None,"2,70E-11",None,"1,25E-12","-0,866875",NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"2,70E-10","2,50E-10","4,73E-08",3,-3,,,,
Buccal_mucosa|Prevotellaceae-Prevotella,Buccal-mucosa,Prevotellaceae-Prevotella,Hard_palate|Prevotellaceae-Prevotella,Hard-palate,Prevotellaceae-Prevotella,None,"0,3086063172",None,None,None,None,None,None,"4,46E-17","0,00400407","5,67E-17","0,5908","0,449942",nan,mutualExclusion,nan,nan,nan,nan,nan,nan,"4,46E-16","1,91E-14","1,70E-13",3,1,1,0,,
Throat|Bacilli-Bacillales,Throat,Bacilli-Bacillales,Throat|Firmicutes-Clostridia,Throat,Firmicutes-Clostridia,"1,90E-05","3,25E-05",None,None,None,None,None,None,"0,00154213","1,69E-10","3,60E-18","-0,803778","-0,0393431",mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"1,69E-09","1,46E-15","2,64E-07",4,-4,0,1,,
Throat|Bacilli-Bacillales,Throat,Bacilli-Bacillales,Throat|Coriobacteriaceae-Atopobium,Throat,Coriobacteriaceae-Atopobium,"5,11E-05",None,None,None,None,None,None,None,None,"0,00224084","1,95E-06",NA,"-0,0235196",mutualExclusion,nan,nan,nan,nan,nan,nan,nan,"0,0005111877","0,0001279332","0,0227184662",2,-2,,,,
Throat|Bacilli-Bacillales,Throat,Bacilli-Bacillales,Throat|Clostridiales-Veillonellaceae,Throat,Clostridiales-Veillonellaceae,"4,50E-05","4,24E-05",None,None,None,None,None,None,None,None,"4,02E-08",NA,NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"0,0002250921","3,75E-06","0,011260333",2,-2,,,0,
Throat|Bacilli-Bacillales,Throat,Bacilli-Bacillales,Throat|Clostridiales-Lachnospiraceae,Throat,Clostridiales-Lachnospiraceae,"3,96E-05",None,None,None,None,None,None,None,None,"2,54E-06","2,41E-09",NA,"-0,0322313",mutualExclusion,nan,nan,nan,nan,nan,nan,nan,"2,54E-05","2,82E-07","0,0016781976",2,-2,,,1,
Throat|Bacilli-Bacillales,Throat,Bacilli-Bacillales,Throat|Clostridia-Clostridiales,Throat,Clostridia-Clostridiales,"2,00E-05","2,53E-05",None,None,None,None,None,None,None,"2,69E-11","1,49E-17",NA,"-0,0391864",mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"2,69E-10","5,54E-15","4,72E-08",3,-3,,,,
Supragingival_plaque|Pasteurellaceae-unclassified,Supragingival-plaque,Pasteurellaceae-unclassified,Subgingival_plaque|Proteobacteria-Gammaproteobacteria,Subgingival-plaque,Proteobacteria-Gammaproteobacteria,"0,0197767326","0,354018394",None,None,"0,0325801987",None,None,None,"1,62E-20",None,"1,02E-19","0,42497",NA,copresence,mutualExclusion,nan,nan,copresence,nan,nan,nan,"1,62E-19","5,03E-17","9,68E-17",4,2,,0,,
Supragingival_plaque|Pasteurellaceae-unclassified,Supragingival-plaque,Pasteurellaceae-unclassified,Supragingival_plaque|Pasteurellaceae-Actinobacillus,Supragingival-plaque,Pasteurellaceae-Actinobacillus,"0,0157934804","0,0996532154",None,None,"0,0161649962",None,None,None,"6,25E-12","6,45E-09","4,28E-19","0,658618","0,331395",copresence,copresence,nan,nan,copresence,nan,nan,nan,"6,25E-11","1,92E-16","1,22E-08",5,5,,1,,
Supragingival_plaque|Pasteurellaceae-unclassified,Supragingival-plaque,Pasteurellaceae-unclassified,Subgingival_plaque|Pasteurellales-Pasteurellaceae,Subgingival-plaque,Pasteurellales-Pasteurellaceae,"0,0138928153","0,3697043386",None,None,"0,0315179506",None,None,None,"8,83E-22",None,"4,70E-21","0,469079",NA,copresence,mutualExclusion,nan,nan,copresence,nan,nan,nan,"8,83E-21","2,67E-18","6,31E-18",4,2,,0,,
Palatine_Tonsils|Actinobacteria-Actinobacteria,Palatine-Tonsils,Actinobacteria-Actinobacteria,Palatine_Tonsils|Porphyromonadaceae-Porphyromonas,Palatine-Tonsils,Porphyromonadaceae-Porphyromonas,None,None,None,None,None,None,None,None,"7,04E-13","1,95E-06","5,79E-17","-0,123774","-0,158087",nan,nan,nan,nan,nan,nan,nan,nan,"7,04E-12","1,94E-14","1,57E-09",2,-2,,1,,0
Palatine_Tonsils|Actinobacteria-Actinobacteria,Palatine-Tonsils,Actinobacteria-Actinobacteria,Palatine_Tonsils|Bacteroidales-Porphyromonadaceae,Palatine-Tonsils,Bacteroidales-Porphyromonadaceae,None,None,None,None,None,None,None,None,"4,39E-10","0,000666101","8,73E-12","-0,119017","-0,142063",nan,nan,nan,nan,nan,nan,nan,nan,"4,39E-09","1,53E-09","6,28E-07",2,-2,,,,
Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,Keratinized_gingiva|Firmicutes-Bacilli,Keratinized-gingiva,Firmicutes-Bacilli,None,None,"0,0566372817","0,006582036",None,None,"3,13E-05","5,79E-10",None,None,"7,51E-14",NA,NA,nan,nan,copresence,copresence,nan,nan,copresence,copresence,"5,79E-09","1,73E-11","8,06E-07",4,4,1,0,0,1
Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,Buccal_mucosa|Bacteroidia-Bacteroidales,Buccal-mucosa,Bacteroidia-Bacteroidales,"0,0016659772","8,57E-06",None,None,None,None,None,None,"1,37E-05",None,"8,99E-11","-0,061338",NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"6,87E-05","1,38E-08","0,0040157422",3,-3,0,1,1,
Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,Buccal_mucosa|Fusobacteriales-Fusobacteriaceae,Buccal-mucosa,Fusobacteriales-Fusobacteriaceae,"0,0044014502","0,0037342299",None,None,None,None,None,None,"3,50E-08",None,"2,45E-10","-0,410921",NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"3,50E-07","3,50E-08","3,44E-05",3,-3,,,,
Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,Buccal_mucosa|Clostridia-Clostridiales,Buccal-mucosa,Clostridia-Clostridiales,"0,0027430313","6,61E-05",None,None,None,None,None,None,"1,37E-05","0,000185329","3,69E-12","-0,0117483","-0,0489378",mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"0,000137362","6,93E-10","0,0073857141",4,-4,,,,
Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,Keratinized_gingiva|Bacilli-Lactobacillales,Keratinized-gingiva,Bacilli-Lactobacillales,None,None,None,"0,0005419979",None,None,"8,24E-07","3,37E-10",None,None,"1,48E-16",NA,NA,nan,nan,nan,copresence,nan,nan,copresence,copresence,"3,37E-09","4,76E-14","4,99E-07",3,3,,0,0,
Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,Hard_palate|Bacteria-Firmicutes,Hard-palate,Bacteria-Firmicutes,None,None,"1,32E-06","2,50E-09",None,None,"0,0004349071","8,12E-10",None,None,"4,85E-23",NA,NA,nan,nan,copresence,copresence,nan,nan,copresence,copresence,"8,12E-09","3,51E-20","1,09E-06",4,4,,,,
Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,Buccal_mucosa|Fusobacteria-Fusobacteriales,Buccal-mucosa,Fusobacteria-Fusobacteriales,"0,0018598522","0,0016063713",None,None,"0,0290846119","0,0096445797",None,None,"1,37E-05","0,000185329","2,25E-12","-0,0640135","-0,0592664",mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"0,000137362","4,39E-10","0,0073857141",6,-6,,1,1,
Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,Hard_palate|Firmicutes-Bacilli,Hard-palate,Firmicutes-Bacilli,None,None,"2,58E-09","1,51E-13",None,None,"4,23E-05","1,76E-06",None,"0,0243128","1,05E-27",NA,"0,0674801",nan,nan,copresence,copresence,nan,nan,copresence,copresence,"1,51E-12","1,26E-24","3,68E-10",5,5,1,0,,
Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,Buccal_mucosa|Firmicutes-Clostridia,Buccal-mucosa,Firmicutes-Clostridia,"0,0034413317","0,0029634102",None,None,None,None,None,None,"1,37E-05",None,"3,94E-08","-0,00980443",NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"0,000137362","3,69E-06","0,0073857141",3,-3,0,1,,
Buccal_mucosa|Firmicutes-Bacilli,Buccal-mucosa,Firmicutes-Bacilli,Buccal_mucosa|Clostridiales-Lachnospiraceae,Buccal-mucosa,Clostridiales-Lachnospiraceae,"0,0050518108","0,0004288811",None,None,None,None,None,None,"1,37E-05",None,"9,49E-09","-0,00534589",NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"0,000137362","9,86E-07","0,0073857141",3,-3,,,,
Saliva|Lachnospiraceae-Catonella,Saliva,Lachnospiraceae-Catonella,Saliva|Lachnospiraceae-Oribacterium,Saliva,Lachnospiraceae-Oribacterium,None,None,None,None,None,None,None,None,"3,21E-06","0,00023878","1,68E-08","0,347151","0,0500887",nan,nan,nan,nan,nan,nan,nan,nan,"3,21E-05","1,68E-06","0,0020575357",2,2,,,,0
Saliva|Lachnospiraceae-Catonella,Saliva,Lachnospiraceae-Catonella,Saliva|Campylobacteraceae-Campylobacter,Saliva,Campylobacteraceae-Campylobacter,None,None,None,None,None,None,None,None,"3,26E-20","0,00023878","4,23E-22","0,0352917","0,0642958",nan,nan,nan,nan,nan,nan,nan,nan,"3,26E-19","2,78E-19","1,91E-16",2,2,,,,
Saliva|Lachnospiraceae-Catonella,Saliva,Lachnospiraceae-Catonella,Saliva|Campylobacterales-Campylobacteraceae,Saliva,Campylobacterales-Campylobacteraceae,None,None,None,None,None,None,None,None,"5,02E-18","0,000458447","1,12E-19","0,0352916","0,562232",nan,nan,nan,nan,nan,nan,nan,nan,"5,02E-17","5,48E-17","2,23E-14",2,2,,,,
Saliva|Lachnospiraceae-Catonella,Saliva,Lachnospiraceae-Catonella,Saliva|Epsilonproteobacteria-Campylobacterales,Saliva,Epsilonproteobacteria-Campylobacterales,None,None,None,None,None,None,None,None,"1,47E-19","0,00023878","1,85E-21","0,0410579","0,0407163",nan,nan,nan,nan,nan,nan,nan,nan,"1,47E-18","1,11E-18","7,95E-16",2,2,,,,
Saliva|Lachnospiraceae-Catonella,Saliva,Lachnospiraceae-Catonella,Throat|Lachnospiraceae-Catonella,Throat,Lachnospiraceae-Catonella,None,None,None,None,None,None,None,None,"1,36E-06","0,0010097","2,93E-08","0,24872","0,0956655",nan,nan,nan,nan,nan,nan,nan,nan,"1,36E-05","2,81E-06","0,0009556163",2,2,1,0,,
Saliva|Lachnospiraceae-Catonella,Saliva,Lachnospiraceae-Catonella,Saliva|Proteobacteria-Epsilonproteobacteria,Saliva,Proteobacteria-Epsilonproteobacteria,None,None,None,None,None,None,None,None,"3,21E-06","0,00124481","8,12E-08","0,0722655","0,562414",nan,nan,nan,nan,nan,nan,nan,nan,"3,21E-05","7,12E-06","0,0020575357",2,2,0,1,,
Saliva|Lachnospiraceae-Catonella,Saliva,Lachnospiraceae-Catonella,Saliva|Spirochaetales-Spirochaetaceae,Saliva,Spirochaetales-Spirochaetaceae,None,None,None,None,None,None,None,None,"3,21E-06","1,78E-05","1,41E-09","0,0473787","0,0619767",nan,nan,nan,nan,nan,nan,nan,nan,"3,21E-05","1,72E-07","0,0020575357",2,2,,,,
Subgingival_plaque|Neisseriaceae-unclassified,Subgingival-plaque,Neisseriaceae-unclassified,Supragingival_plaque|Neisseriaceae-unclassified,Supragingival-plaque,Neisseriaceae-unclassified,None,"0,1168224304",None,None,None,None,None,None,"1,77E-13","0,00062348","1,02E-14","0,354536","0,214025",nan,mutualExclusion,nan,nan,nan,nan,nan,nan,"1,77E-12","2,60E-12","4,27E-10",3,1,1,0,,1
Subgingival_plaque|Neisseriaceae-unclassified,Subgingival-plaque,Neisseriaceae-unclassified,Saliva|Bacteria-Proteobacteria,Saliva,Bacteria-Proteobacteria,None,None,None,None,None,None,None,None,"0,0132204","5,36E-05","1,07E-05","0,0669899","0,248954",nan,nan,nan,nan,nan,nan,nan,nan,"0,000535857","0,0005806612","0,0236156853",2,2,0,,,0
Palatine_Tonsils|Proteobacteria-Epsilonproteobacteria,Palatine-Tonsils,Proteobacteria-Epsilonproteobacteria,Throat|Epsilonproteobacteria-Campylobacterales,Throat,Epsilonproteobacteria-Campylobacterales,"0,049115597",None,None,None,None,None,None,None,"1,22E-06",None,"1,06E-06","0,156153",NA,copresence,nan,nan,nan,nan,nan,nan,nan,"1,22E-05","7,44E-05","0,0008711014",2,2,,,,1
R_Retroauricular_crease|Gammaproteobacteria-Pseudomonadales,R-Retroauricular-crease,Gammaproteobacteria-Pseudomonadales,L_Retroauricular_crease|Pseudomonadales-Moraxellaceae,L-Retroauricular-crease,Pseudomonadales-Moraxellaceae,None,"0,1341554967","7,24E-06",None,None,None,None,None,None,None,"1,44E-05",NA,NA,nan,copresence,copresence,nan,nan,nan,nan,nan,"7,24E-05","0,000749339","0,0042136702",2,2,,,0,
L_Antecubital_fossa|Neisseriaceae-unclassified,L-Antecubital-fossa,Neisseriaceae-unclassified,R_Antecubital_fossa|Neisseriaceae-unclassified,R-Antecubital-fossa,Neisseriaceae-unclassified,None,None,None,None,None,None,None,None,"2,80E-08","0,000936379","6,64E-10","0,659464","0,84539",nan,nan,nan,nan,nan,nan,nan,nan,"2,80E-07","8,62E-08","2,80E-05",2,2,1,,1,0
Subgingival_plaque|Lactobacillales-unclassified,Subgingival-plaque,Lactobacillales-unclassified,Subgingival_plaque|Carnobacteriaceae-Granulicatella,Subgingival-plaque,Carnobacteriaceae-Granulicatella,None,"0,1036740821",None,None,None,None,None,None,"2,34E-08","0,0166595","1,26E-08","0,191666","0,0427415",nan,copresence,nan,nan,nan,nan,nan,nan,"2,34E-07","1,28E-06","2,37E-05",3,3,0,1,,1
L_Retroauricular_crease|Propionibacteriaceae-Propionibacterium,L-Retroauricular-crease,Propionibacteriaceae-Propionibacterium,R_Retroauricular_crease|Propionibacteriaceae-Propionibacterium,R-Retroauricular-crease,Propionibacteriaceae-Propionibacterium,"0,0419055661","0,1855150212","1,69E-30","8,50E-69","0,060897181","0,0817723383","2,37E-22","1,69E-67",None,"1,46E-05","1,38E-179",NA,"0,576752",copresence,copresence,copresence,copresence,copresence,copresence,copresence,copresence,"8,50E-68","3,28E-175","1,57E-63",9,9,1,0,,
L_Retroauricular_crease|Propionibacteriaceae-Propionibacterium,L-Retroauricular-crease,Propionibacteriaceae-Propionibacterium,R_Retroauricular_crease|Firmicutes-Bacilli,R-Retroauricular-crease,Firmicutes-Bacilli,"1,05E-06","1,04E-08",None,None,"2,89E-05","8,02E-09",None,None,None,None,"1,02E-22",NA,NA,mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"5,21E-08","7,11E-20","5,96E-06",4,-4,0,,0,
L_Retroauricular_crease|Propionibacteriaceae-Propionibacterium,L-Retroauricular-crease,Propionibacteriaceae-Propionibacterium,R_Retroauricular_crease|Bacteria-Firmicutes,R-Retroauricular-crease,Bacteria-Firmicutes,"3,53E-07","1,50E-09",None,None,"8,98E-06","9,61E-10",None,None,None,None,"2,46E-25",NA,NA,mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"7,50E-09","2,13E-22","1,02E-06",4,-4,,,,
L_Retroauricular_crease|Propionibacteriaceae-Propionibacterium,L-Retroauricular-crease,Propionibacteriaceae-Propionibacterium,L_Retroauricular_crease|Bacillales-Staphylococcaceae,L-Retroauricular-crease,Bacillales-Staphylococcaceae,"2,67E-05","8,71E-05",None,None,"0,0001600502","0,0003289614",None,None,None,None,"1,09E-12",NA,NA,mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"0,0002674155","2,21E-10","0,0130684452",4,-4,,1,,
L_Retroauricular_crease|Propionibacteriaceae-Propionibacterium,L-Retroauricular-crease,Propionibacteriaceae-Propionibacterium,L_Retroauricular_crease|Firmicutes-Bacilli,L-Retroauricular-crease,Firmicutes-Bacilli,"3,20E-06","1,77E-05",None,None,"2,31E-05","0,000129898",None,None,None,None,"2,46E-15",NA,NA,mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"3,20E-05","6,83E-13","0,0020575357",4,-4,,,,
L_Retroauricular_crease|Propionibacteriaceae-Propionibacterium,L-Retroauricular-crease,Propionibacteriaceae-Propionibacterium,L_Retroauricular_crease|Bacilli-Bacillales,L-Retroauricular-crease,Bacilli-Bacillales,"2,68E-05","8,34E-05",None,None,"0,0001601636","0,0003887441",None,None,None,None,"1,23E-12",NA,NA,mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"0,000267957","2,46E-10","0,0130896081",4,-4,,,,
L_Retroauricular_crease|Propionibacteriaceae-Propionibacterium,L-Retroauricular-crease,Propionibacteriaceae-Propionibacterium,R_Retroauricular_crease|Staphylococcaceae-Staphylococcus,R-Retroauricular-crease,Staphylococcaceae-Staphylococcus,"3,77E-06","4,15E-08",None,None,"2,23E-05","8,64E-09",None,None,None,None,"1,07E-21",NA,NA,mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"8,64E-08","6,72E-19","9,43E-06",4,-4,,0,,
L_Retroauricular_crease|Propionibacteriaceae-Propionibacterium,L-Retroauricular-crease,Propionibacteriaceae-Propionibacterium,R_Retroauricular_crease|Actinobacteria-Actinobacteria,R-Retroauricular-crease,Actinobacteria-Actinobacteria,"0,0056419313","0,016426083","1,07E-27","5,97E-32","0,0367968829","0,02270896","2,86E-10","2,94E-35",None,"0,000257863","5,78E-99",NA,"0,2543",copresence,copresence,copresence,copresence,copresence,copresence,copresence,copresence,"2,94E-34","1,08E-94","6,44E-31",9,9,,,1,
L_Retroauricular_crease|Propionibacteriaceae-Propionibacterium,L-Retroauricular-crease,Propionibacteriaceae-Propionibacterium,L_Retroauricular_crease|Bacteria-Firmicutes,L-Retroauricular-crease,Bacteria-Firmicutes,"9,73E-07","4,24E-06",None,None,"3,20E-06","1,61E-05",None,None,"0,00302803",None,"2,78E-19","-0,384716",NA,mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"9,73E-06","1,28E-16","0,0007122271",5,-5,,1,,
L_Antecubital_fossa|Lactobacillales-Streptococcaceae,L-Antecubital-fossa,Lactobacillales-Streptococcaceae,L_Antecubital_fossa|Pasteurellales-Pasteurellaceae,L-Antecubital-fossa,Pasteurellales-Pasteurellaceae,None,None,None,None,None,"0,0037009557",None,None,"1,51E-05",None,"9,87E-07","0,0266514",NA,nan,nan,nan,nan,nan,copresence,nan,nan,"0,000150705","6,98E-05","0,0079755989",2,2,,,,
Supragingival_plaque|Coriobacteriaceae-Atopobium,Supragingival-plaque,Coriobacteriaceae-Atopobium,Subgingival_plaque|Clostridia-Clostridiales,Subgingival-plaque,Clostridia-Clostridiales,None,None,None,None,None,None,None,None,"2,59E-06","0,000440343","2,46E-08","0,00189615","0,0755269",nan,nan,nan,nan,nan,nan,nan,nan,"2,59E-05","2,38E-06","0,0017056042",2,2,,0,,0
Tongue_dorsum|Flavobacteriales-Flavobacteriaceae,Tongue-dorsum,Flavobacteriales-Flavobacteriaceae,Saliva|Clostridiales-Veillonellaceae,Saliva,Clostridiales-Veillonellaceae,None,None,None,None,None,"3,28E-06",None,None,None,"0,0010909","7,32E-08",NA,"-0,329882",nan,nan,nan,nan,nan,mutualExclusion,nan,nan,"3,28E-05","6,49E-06","0,0021043477",2,-2,,,,1
Tongue_dorsum|Flavobacteriales-Flavobacteriaceae,Tongue-dorsum,Flavobacteriales-Flavobacteriaceae,Throat|SR1generaincertaesedis-unclassified,Throat,SR1generaincertaesedis-unclassified,None,None,None,None,None,None,None,None,"4,56E-05","7,88E-05","7,35E-08","0,153954","0,0873354",nan,nan,nan,nan,nan,nan,nan,nan,"0,0003937995","6,50E-06","0,0181545469",2,2,,,,0
Tongue_dorsum|Flavobacteriales-Flavobacteriaceae,Tongue-dorsum,Flavobacteriales-Flavobacteriaceae,Tongue_dorsum|Prevotellaceae-Prevotella,Tongue-dorsum,Prevotellaceae-Prevotella,None,None,None,None,"0,0029332468",None,None,None,"1,04E-13","5,33E-13","3,45E-25","-0,281378","-0,119839",nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"1,04E-12","2,96E-22","2,59E-10",3,-3,,1,,1
Tongue_dorsum|Flavobacteriales-Flavobacteriaceae,Tongue-dorsum,Flavobacteriales-Flavobacteriaceae,Hard_palate|Coriobacteriaceae-Atopobium,Hard-palate,Coriobacteriaceae-Atopobium,None,None,None,None,"0,0029411837",None,None,None,"3,97E-10",None,"3,33E-11","-0,0583443",NA,nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"3,97E-09","5,40E-09","5,78E-07",2,-2,,0,,
Tongue_dorsum|Flavobacteriales-Flavobacteriaceae,Tongue-dorsum,Flavobacteriales-Flavobacteriaceae,Throat|Coriobacteriaceae-Atopobium,Throat,Coriobacteriaceae-Atopobium,None,None,None,None,"0,0024805117",None,None,None,"4,56E-05",None,"1,92E-06","-0,17579",NA,nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"0,000456321","0,0001265754","0,0205572485",2,-2,,,,
Tongue_dorsum|Flavobacteriales-Flavobacteriaceae,Tongue-dorsum,Flavobacteriales-Flavobacteriaceae,Tongue_dorsum|Coriobacteriales-Coriobacteriaceae,Tongue-dorsum,Coriobacteriales-Coriobacteriaceae,None,None,None,None,"0,0002931957",None,None,None,"1,04E-13",None,"1,19E-15","-0,0145216",NA,nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"1,04E-12","3,49E-13","2,59E-10",2,-2,,1,,
Tongue_dorsum|Flavobacteriales-Flavobacteriaceae,Tongue-dorsum,Flavobacteriales-Flavobacteriaceae,Throat|Veillonellaceae-Megasphaera,Throat,Veillonellaceae-Megasphaera,None,None,None,None,"0,0049341921",None,None,None,"4,98E-09",None,"6,25E-10","-0,0217245",NA,nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"4,98E-08","8,18E-08","5,71E-06",2,-2,,0,,
Tongue_dorsum|Flavobacteriales-Flavobacteriaceae,Tongue-dorsum,Flavobacteriales-Flavobacteriaceae,Saliva|SR1generaincertaesedis-unclassified,Saliva,SR1generaincertaesedis-unclassified,None,None,None,None,None,None,None,None,"1,48E-21","0,0010909","8,99E-23","0,317412","0,0047533",nan,nan,nan,nan,nan,nan,nan,nan,"1,48E-20","6,25E-20","1,01E-17",2,2,,,,0
Tongue_dorsum|Flavobacteriales-Flavobacteriaceae,Tongue-dorsum,Flavobacteriales-Flavobacteriaceae,Tongue_dorsum|Porphyromonadaceae-unclassified,Tongue-dorsum,Porphyromonadaceae-unclassified,None,None,None,None,"0,012812683",None,None,None,None,"1,08E-06","2,64E-07",NA,"0,196879",nan,nan,nan,nan,copresence,nan,nan,nan,"1,08E-05","2,11E-05","0,0007806423",2,2,,1,,1
